tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
blocked,h60_sol_v3_89d_20260506,SOLUSDT,300,287,0.505226,0.447697,0.562618,-0.000742,-0.000742,-0.0742,-0.0251,0.429721,0.934579,0.58,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4477<=0.515; rwev=-0.000742 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h180_sol_v3_179d_20260506,SOLUSDT,900,95,0.505263,0.406493,0.603624,-0.002211,-0.002211,-0.2211,-0.0422,0.459141,0.934579,0.53,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4065<=0.515; rwev=-0.002211 not>0; wf_ev_pos_folds=3/5<2/3
blocked,h1200_btc_v3_179d_20260506,BTCUSDT,900,96,0.5,0.401924,0.598076,-0.002229,-0.002229,-0.2229,-0.044,0.5,0.934579,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4019<=0.515; rwev=-0.002229 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_btc_v3_89d_20260506,BTCUSDT,1800,48,0.541667,0.402911,0.674248,-0.003479,-0.003479,-0.3479,-0.0483,0.281851,0.920036,0.5,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.4029<=0.515; rwev=-0.003479 not>0
blocked,h600_eth_v3_329d_20260506,ETHUSDT,300,288,0.513889,0.456363,0.571049,-0.003965,-0.003965,-0.3965,-0.1334,0.318676,0.920036,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4564<=0.515; rwev=-0.003965 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h900_btc_v3_179d_20260506,BTCUSDT,1800,48,0.520833,0.383292,0.655287,-0.005563,-0.005563,-0.5563,-0.0772,0.386415,0.920036,0.52,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3833<=0.515; rwev=-0.005563 not>0
blocked,h300_btc_v3_89d_20260506,BTCUSDT,300,288,0.517361,0.459802,0.574463,-0.006083,-0.006083,-0.6083,-0.2113,0.277845,0.920036,0.58,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4598<=0.515; rwev=-0.006083 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h900_btc_v3_89d_20260506,BTCUSDT,300,288,0.510417,0.452927,0.567632,-0.006083,-0.006083,-0.6083,-0.2113,0.361837,0.920036,0.53,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4529<=0.515; rwev=-0.006083 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h300_btc_v3_89d_20260506,BTCUSDT,1800,48,0.541667,0.402911,0.674248,-0.006813,-0.006813,-0.6813,-0.0945,0.281851,0.920036,0.53,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.4029<=0.515; rwev=-0.006813 not>0
blocked,h1800_sol_v3_329d_20260506,SOLUSDT,300,287,0.505226,0.447697,0.562618,-0.007397,-0.007397,-0.7397,-0.2504,0.429721,0.934579,,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4477<=0.515; rwev=-0.007397 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1800_sol_v3_89d_20260427,SOLUSDT,300,277,0.501805,0.443303,0.560257,-0.007502,-0.007502,-0.7502,-0.2572,0.476044,0.934579,0.58,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4433<=0.515; rwev=-0.007502 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h180_btc_v3_89d_20260506,BTCUSDT,1800,48,0.5,0.363893,0.636107,-0.007854,-0.007854,-0.7854,-0.109,0.5,0.934579,0.52,4,5,51.2944,True,False,,1.0,1.0,0.0,True,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3639<=0.515; rwev=-0.007854 not>0
blocked,h600_btc_v3_179d_20260506,BTCUSDT,300,288,0.5,0.442635,0.557365,-0.008028,-0.008028,-0.8028,-0.2788,0.5,0.934579,0.54,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4426<=0.515; rwev=-0.008028 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h60_btc_v3_179d_20260506,BTCUSDT,900,96,0.520833,0.422038,0.618026,-0.008896,-0.008896,-0.8896,-0.1755,0.341546,0.920036,0.53,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4220<=0.515; rwev=-0.008896 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h900_sol_v3_89d_20260427,SOLUSDT,300,277,0.498195,0.439743,0.556697,-0.01122,-0.01122,-1.122,-0.3852,0.523956,0.944065,0.51,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4397<=0.515; rwev=-0.01122 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_btc_v3_329d_20260506,BTCUSDT,900,96,0.510417,0.41196,0.608071,-0.012854,-0.012854,-1.2854,-0.2535,0.419128,0.934579,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4120<=0.515; rwev=-0.012854 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_eth_v3_179d_20260506,ETHUSDT,300,288,0.506944,0.449494,0.564212,-0.012854,-0.012854,-1.2854,-0.4323,0.406832,0.934579,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4495<=0.515; rwev=-0.012854 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h1800_btc_v3_179d_20260506,BTCUSDT,300,288,0.482639,0.425537,0.540198,-0.013097,-0.013097,-1.3097,-0.4549,0.722155,0.989166,0.55,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=-0.013097 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h60_sol_v3_179d_20260506,SOLUSDT,300,287,0.494774,0.437382,0.552303,-0.014331,-0.014331,-1.4331,-0.4844,0.570279,0.987434,0.53,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4374<=0.515; rwev=-0.014331 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h180_btc_v3_179d_20260506,BTCUSDT,300,288,0.5,0.442635,0.557365,-0.014417,-0.014417,-1.4417,-0.5008,0.5,0.934579,0.55,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4426<=0.515; rwev=-0.014417 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h1800_eth_v3_329d_20260427,ETHUSDT,300,277,0.494585,0.436185,0.553133,-0.014578,-0.014578,-1.4578,-0.4995,0.571523,0.987434,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4362<=0.515; rwev=-0.014578 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h900_eth_v3_179d_20260506,ETHUSDT,300,288,0.506944,0.449494,0.564212,-0.015111,-0.015111,-1.5111,-0.509,0.406832,0.934579,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4495<=0.515; rwev=-0.015111 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h1800_btc_v3_89d_20260506,BTCUSDT,900,96,0.479167,0.381974,0.577962,-0.015667,-0.015667,-1.5667,-0.309,0.658454,0.989166,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3820<=0.515; rwev=-0.015667 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h900_sol_v3_329d_20260506,SOLUSDT,300,287,0.501742,0.444256,0.559182,-0.015969,-0.015969,-1.5969,-0.5409,0.476465,0.934579,,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4443<=0.515; rwev=-0.015969 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_sol_v3_179d_20260427,SOLUSDT,300,277,0.501805,0.443303,0.560257,-0.016094,-0.016094,-1.6094,-0.5527,0.476044,0.934579,0.5,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4433<=0.515; rwev=-0.016094 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_sol_v3_329d_20260427,SOLUSDT,300,277,0.509025,0.450434,0.56737,-0.016419,-0.016419,-1.6419,-0.5652,0.381928,0.920036,0.54,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4504<=0.515; rwev=-0.016419 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1800_sol_v3_179d_20260427,SOLUSDT,300,277,0.494585,0.436185,0.553133,-0.017538,-0.017538,-1.7538,-0.6023,0.571523,0.987434,0.5,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4362<=0.515; rwev=-0.017538 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_eth_v3_179d_20260427,ETHUSDT,300,277,0.483755,0.42553,0.542424,-0.01844,-0.01844,-1.844,-0.632,0.705663,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=-0.01844 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h300_sol_v3_179d_20260506,SOLUSDT,300,287,0.494774,0.437382,0.552303,-0.019209,-0.019209,-1.9209,-0.6491,0.570279,0.987434,0.51,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4374<=0.515; rwev=-0.019209 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_eth_v3_329d_20260506,ETHUSDT,300,288,0.479167,0.422125,0.536756,-0.02091,-0.02091,-2.091,-0.7045,0.76025,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4221<=0.515; rwev=-0.02091 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h60_eth_v3_89d_20260506,ETHUSDT,300,288,0.493056,0.435788,0.550506,-0.021083,-0.021083,-2.1083,-0.7104,0.593168,0.988613,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4358<=0.515; rwev=-0.021083 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h900_sol_v3_179d_20260427,SOLUSDT,300,277,0.498195,0.439743,0.556697,-0.021184,-0.021184,-2.1184,-0.7276,0.523956,0.944065,0.6,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4397<=0.515; rwev=-0.021184 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_sol_v3_89d_20260427,SOLUSDT,300,277,0.490975,0.43263,0.549566,-0.021329,-0.021329,-2.1329,-0.7331,0.618072,0.989166,0.58,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4326<=0.515; rwev=-0.021329 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h900_btc_v3_329d_20260506,BTCUSDT,300,288,0.482639,0.425537,0.540198,-0.021674,-0.021674,-2.1674,-0.753,0.722155,0.989166,0.62,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=-0.021674 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h1800_eth_v3_89d_20260427,ETHUSDT,300,277,0.480144,0.421984,0.538848,-0.022051,-0.022051,-2.2051,-0.7559,0.74567,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4220<=0.515; rwev=-0.022051 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h1800_eth_v3_179d_20260427,ETHUSDT,300,277,0.483755,0.42553,0.542424,-0.022195,-0.022195,-2.2195,-0.7608,0.705663,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=-0.022195 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h1800_eth_v3_179d_20260506,ETHUSDT,300,288,0.489583,0.432368,0.547073,-0.023271,-0.023271,-2.3271,-0.7842,0.638163,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4324<=0.515; rwev=-0.023271 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h1800_btc_v3_89d_20260506,BTCUSDT,300,288,0.479167,0.422125,0.536756,-0.024625,-0.024625,-2.4625,-0.8557,0.76025,0.989166,0.61,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4221<=0.515; rwev=-0.024625 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h300_btc_v3_329d_20260506,BTCUSDT,900,96,0.510417,0.41196,0.608071,-0.024625,-0.024625,-2.4625,-0.4859,0.419128,0.934579,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4120<=0.515; rwev=-0.024625 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_btc_v3_89d_20260506,BTCUSDT,300,288,0.472222,0.415311,0.529865,-0.024903,-0.024903,-2.4903,-0.8654,0.827111,0.989166,0.61,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4153<=0.515; rwev=-0.024903 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h180_btc_v3_179d_20260506,BTCUSDT,900,96,0.5,0.401924,0.598076,-0.025771,-0.025771,-2.5771,-0.5086,0.5,0.934579,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4019<=0.515; rwev=-0.025771 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h60_eth_v3_179d_20260506,ETHUSDT,300,288,0.493056,0.435788,0.550506,-0.026118,-0.026118,-2.6118,-0.8789,0.593168,0.988613,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4358<=0.515; rwev=-0.026118 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h180_sol_v3_179d_20260506,SOLUSDT,300,287,0.484321,0.427092,0.541963,-0.026213,-0.026213,-2.6213,-0.8875,0.702378,0.989166,0.5,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4271<=0.515; rwev=-0.026213 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_sol_v3_89d_20260427,SOLUSDT,300,277,0.487365,0.429079,0.545996,-0.02631,-0.02631,-2.631,-0.9039,0.662972,0.989166,0.57,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4291<=0.515; rwev=-0.02631 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h60_sol_v3_329d_20260506,SOLUSDT,300,287,0.480836,0.423668,0.538511,-0.027014,-0.027014,-2.7014,-0.9148,0.741931,0.989166,0.56,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4237<=0.515; rwev=-0.027014 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_eth_v3_329d_20260427,ETHUSDT,300,277,0.469314,0.411365,0.528102,-0.030354,-0.030354,-3.0354,-1.0411,0.846475,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4114<=0.515; rwev=-0.030354 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h900_eth_v3_89d_20260506,ETHUSDT,300,288,0.482639,0.425537,0.540198,-0.031049,-0.031049,-3.1049,-1.0469,0.722155,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=-0.031049 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h900_eth_v3_329d_20260506,ETHUSDT,300,288,0.472222,0.415311,0.529865,-0.032403,-0.032403,-3.2403,-1.0909,0.827111,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4153<=0.515; rwev=-0.032403 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h60_eth_v3_329d_20260506,ETHUSDT,300,288,0.475694,0.418717,0.533312,-0.033653,-0.033653,-3.3653,-1.1349,0.795302,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4187<=0.515; rwev=-0.033653 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h60_btc_v3_89d_20260506,BTCUSDT,900,96,0.46875,0.372061,0.567844,-0.035667,-0.035667,-3.5667,-0.7045,0.729854,0.989166,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3721<=0.515; rwev=-0.035667 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1200_eth_v3_179d_20260506,ETHUSDT,300,288,0.472222,0.415311,0.529865,-0.036396,-0.036396,-3.6396,-1.2278,0.827111,0.989166,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4153<=0.515; rwev=-0.036396 not>0; wf_ev_pos_folds=1/5<2/3
blocked,h60_btc_v3_89d_20260506,BTCUSDT,300,288,0.475694,0.418717,0.533312,-0.038583,-0.038583,-3.8583,-1.3426,0.795302,0.989166,0.5,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4187<=0.515; rwev=-0.038583 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h600_btc_v3_329d_20260506,BTCUSDT,1800,48,0.5,0.363893,0.636107,-0.040771,-0.040771,-4.0771,-0.567,0.5,0.934579,0.51,4,5,51.2944,True,False,,1.0,1.0,0.0,True,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3639<=0.515; rwev=-0.040771 not>0
blocked,h60_btc_v3_179d_20260506,BTCUSDT,300,288,0.475694,0.418717,0.533312,-0.041326,-0.041326,-4.1326,-1.4385,0.795302,0.989166,0.52,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4187<=0.515; rwev=-0.041326 not>0; wf_ev_pos_folds=2/5<2/3
blocked,h1200_btc_v3_89d_20260506,BTCUSDT,900,96,0.447917,0.352358,0.547484,-0.042958,-0.042958,-4.2958,-0.8493,0.846283,0.989166,0.53,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3524<=0.515; rwev=-0.042958 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h180_btc_v3_329d_20260506,BTCUSDT,1800,48,0.479167,0.344713,0.616708,-0.052646,-0.052646,-5.2646,-0.7335,0.613585,0.989166,0.52,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3447<=0.515; rwev=-0.052646 not>0
blocked,h1800_btc_v3_179d_20260506,BTCUSDT,900,96,0.427083,0.332821,0.526957,-0.053896,-0.053896,-5.3896,-1.0674,0.923479,0.989166,0.53,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3328<=0.515; rwev=-0.053896 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h900_btc_v3_329d_20260506,BTCUSDT,900,96,0.447917,0.352358,0.547484,-0.063479,-0.063479,-6.3479,-1.2597,0.846283,0.989166,0.55,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3524<=0.515; rwev=-0.063479 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h180_btc_v3_89d_20260506,BTCUSDT,900,96,0.4375,0.342568,0.537241,-0.069417,-0.069417,-6.9417,-1.3795,0.889664,0.989166,0.54,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3426<=0.515; rwev=-0.069417 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h60_btc_v3_329d_20260506,BTCUSDT,1800,48,0.458333,0.325752,0.597089,-0.069937,-0.069937,-6.9938,-0.978,0.718149,0.989166,0.5,4,5,51.2944,True,False,,1.0,1.0,0.0,True,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3258<=0.515; rwev=-0.069937 not>0
blocked,h900_btc_v3_179d_20260506,BTCUSDT,900,96,0.427083,0.332821,0.526957,-0.087125,-0.087125,-8.7125,-1.7403,0.923479,0.989166,0.52,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3328<=0.515; rwev=-0.087125 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_btc_v3_89d_20260506,BTCUSDT,900,96,0.427083,0.332821,0.526957,-0.089417,-0.089417,-8.9417,-1.7874,0.923479,0.989166,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3328<=0.515; rwev=-0.089417 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_btc_v3_179d_20260506,BTCUSDT,900,96,0.416667,0.323116,0.51663,-0.095458,-0.095458,-9.5458,-1.9123,0.948765,0.991318,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3231<=0.515; rwev=-0.095458 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h1800_btc_v3_329d_20260506,BTCUSDT,900,96,0.395833,0.303834,0.495849,-0.096813,-0.096813,-9.6813,-1.9404,0.979387,0.995819,0.54,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3038<=0.515; rwev=-0.096813 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h600_btc_v3_329d_20260506,BTCUSDT,900,96,0.427083,0.332821,0.526957,-0.097125,-0.097125,-9.7125,-1.9469,0.923479,0.989166,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3328<=0.515; rwev=-0.097125 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h900_btc_v3_89d_20260506,BTCUSDT,900,96,0.427083,0.332821,0.526957,-0.099104,-0.099104,-9.9104,-1.988,0.923479,0.989166,0.53,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3328<=0.515; rwev=-0.099104 not>0; wf_ev_pos_folds=0/5<2/3
blocked,h60_xrp_v3_179d_20260427,XRPUSDT,300,277,0.469314,0.411365,0.528102,0.0,0.0,0.0,,0.846475,0.989166,0.5,,,,,True,error: timed out,,,,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4114<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h60_xrp_v3_329d_20260427,XRPUSDT,300,277,0.487365,0.429079,0.545996,0.0,0.0,0.0,,0.662972,0.989166,0.5,,,,,True,error: timed out,,,,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4291<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h60_xrp_v3_89d_20260427,XRPUSDT,300,277,0.465704,0.407832,0.524515,0.0,0.0,0.0,,0.87319,0.989166,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4078<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h180_xrp_v3_179d_20260427,XRPUSDT,300,277,0.465704,0.407832,0.524515,0.0,0.0,0.0,,0.87319,0.989166,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4078<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h180_xrp_v3_329d_20260427,XRPUSDT,300,277,0.447653,0.390209,0.50653,0.0,0.0,0.0,,0.959284,0.991318,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3902<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h180_xrp_v3_89d_20260427,XRPUSDT,300,277,0.476534,0.418441,0.535269,0.0,0.0,0.0,,0.782626,0.989166,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4184<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h300_xrp_v3_179d_20260427,XRPUSDT,300,277,0.440433,0.383181,0.499315,0.0,0.0,0.0,,0.976304,0.995819,0.5,,,,,True,error: timed out,,,,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3832<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h300_xrp_v3_329d_20260427,XRPUSDT,300,277,0.447653,0.390209,0.50653,0.0,0.0,0.0,,0.959284,0.991318,0.5,,,,,True,error: timed out,,,,True,0.0,no significant edge or insufficient data; wilson_ci_lower=0.3902<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h300_xrp_v3_89d_20260427,XRPUSDT,300,277,0.465704,0.407832,0.524515,0.0,0.0,0.0,,0.87319,0.989166,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4078<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h600_xrp_v3_179d_20260427,XRPUSDT,300,277,0.527076,0.468313,0.585098,0.0,0.0,0.0,,0.183724,0.920036,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4683<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h600_xrp_v3_329d_20260427,XRPUSDT,300,277,0.509025,0.450434,0.56737,0.0,0.0,0.0,,0.381928,0.920036,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4504<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
blocked,h600_xrp_v3_89d_20260427,XRPUSDT,300,277,0.483755,0.42553,0.542424,0.0,0.0,0.0,,0.705663,0.989166,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4255<=0.515; rwev=0.0 not>0; walk_forward_skipped:insufficient_data
