tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
blocked,h900_sol_v3_329d_20260427,SOLUSDT,900,92,0.532609,0.431405,0.631199,0.031761,0.031761,3.1761,0.6271,0.265807,0.920036,0.54,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4314<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_329d_20260506,SOLUSDT,900,95,0.536842,0.437097,0.633724,0.031368,0.031368,3.1368,0.6005,0.236322,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4371<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_sol_v3_329d_20260506,SOLUSDT,900,95,0.536842,0.437097,0.633724,0.028316,0.028316,2.8316,0.5454,0.236322,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4371<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_sol_v3_89d_20260427,SOLUSDT,900,92,0.532609,0.431405,0.631199,0.028174,0.028174,2.8174,0.5536,0.265807,0.920036,0.55,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4314<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h600_eth_v3_89d_20260506,ETHUSDT,300,288,0.541667,0.48395,0.598286,0.026486,0.026486,2.6486,0.893,0.07865,0.920036,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4839<=0.515; wf_ev_pos_folds=1/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_sol_v3_329d_20260427,SOLUSDT,900,92,0.532609,0.431405,0.631199,0.023391,0.023391,2.3391,0.4593,0.265807,0.920036,0.5,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4314<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_179d_20260506,SOLUSDT,1800,47,0.531915,0.392324,0.666683,0.023021,0.023021,2.3021,0.3148,0.33084,0.920036,,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=47<50; wilson_ci_lower=0.3923<=0.515; walk_forward_skipped:insufficient_data
blocked,h1800_sol_v3_89d_20260427,SOLUSDT,1800,46,0.5,0.361189,0.638811,0.02187,0.02187,2.187,0.3048,0.5,0.934579,0.53,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=46<50; wilson_ci_lower=0.3612<=0.515; walk_forward_skipped:insufficient_data
blocked,h60_sol_v3_329d_20260506,SOLUSDT,900,95,0.515789,0.416652,0.613699,0.020842,0.020842,2.0842,0.4022,0.37912,0.920036,0.52,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4167<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_179d_20260506,SOLUSDT,900,95,0.526316,0.426853,0.623733,0.020211,0.020211,2.0211,0.3886,0.303979,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4269<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_btc_v3_329d_20260506,BTCUSDT,300,288,0.524306,0.466688,0.581283,0.019542,0.019542,1.9542,0.6799,0.204698,0.920036,0.56,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4667<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h60_sol_v3_179d_20260506,SOLUSDT,900,95,0.515789,0.416652,0.613699,0.019474,0.019474,1.9474,0.3758,0.37912,0.920036,0.52,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4167<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
